-- Medz's Given Hits Informer --
Time: 15:11:24
Date: 10/01/23
----------------------------------

[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 1.32 | Health: 91.00 | Armor: 0.00 | Time: 21:57:03 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 2.31 | Health: 91.00 | Armor: 0.00 | Time: 21:57:03 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 3.96 | Health: 84.00 | Armor: 0.00 | Time: 21:57:04 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 1.32 | Health: 84.00 | Armor: 0.00 | Time: 21:57:05 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 1.32 | Health: 77.00 | Armor: 0.00 | Time: 21:57:07 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 2.31 | Health: 77.00 | Armor: 0.00 | Time: 21:57:07 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 3.96 | Health: 77.00 | Armor: 0.00 | Time: 21:57:08 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 2.31 | Health: 70.00 | Armor: 0.00 | Time: 21:57:10 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 1.98 | Health: 70.00 | Armor: 0.00 | Time: 21:57:15 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 5.28 | Health: 70.00 | Armor: 0.00 | Time: 21:57:16 | Date: 10/01/23
[GIVE] > Name: PAPLO.(9) | Class: Civilian | Weapon: Fist | Damage: 1.98 | Health: 63.00 | Armor: 0.00 | Time: 21:57:16 | Date: 10/01/23
[GIVE] > Name: KEREEM.(11) | Class: Civilian | Weapon: Fist | Damage: 1.32 | Health: 100.00 | Armor: 0.00 | Time: 21:57:27 | Date: 10/01/23
[GIVE] > Name: mark_daniel(24) | Class: Police Officer | Weapon: Combat Shotgun | Damage: 34.65 | Health: 70.00 | Armor: 63.00 | Time: 14:34:02 | Date: 10/02/23
[GIVE] > Name: mark_daniel(24) | Class: Police Officer | Weapon: Combat Shotgun | Damage: 4.95 | Health: 70.00 | Armor: 28.00 | Time: 14:34:02 | Date: 10/02/23
[GIVE] > Name: mark_daniel(24) | Class: Police Officer | Weapon: Combat Shotgun | Damage: 4.95 | Health: 70.00 | Armor: 21.00 | Time: 14:34:06 | Date: 10/02/23
[GIVE] > Name: mark_daniel(24) | Class: Police Officer | Weapon: Combat Shotgun | Damage: 9.90 | Health: 70.00 | Armor: 21.00 | Time: 14:34:06 | Date: 10/02/23
[GIVE] > Name: mark_daniel(24) | Class: Police Officer | Weapon: Combat Shotgun | Damage: 39.60 | Health: 70.00 | Armor: 7.00 | Time: 14:34:07 | Date: 10/02/23
[GIVE] > Name: mark_daniel(24) | Class: Police Officer | Weapon: Combat Shotgun | Damage: 34.65 | Health: 28.00 | Armor: 0.00 | Time: 14:34:07 | Date: 10/02/23
[GIVE] > Name: mark_daniel(24) | Class: Police Officer | Weapon: Combat Shotgun | Damage: 4.95 | Health: 35.00 | Armor: 0.00 | Time: 14:34:08 | Date: 10/02/23
